,permno,namedt,nameenddt,shrcd,exchcd,siccd,ncusip,ticker,comnam,shrcls,permco,hexcd,cusip,st_date,end_date,namedum,s_date,e_date
7574,13425,2017-01-11,2017-06-16,31,1,5499,15132H10,CNCO,CENCOSUD S A,,54101,1,15132H10,2012-06-22,2017-06-16,2.0,2012-06-22,2017-06-16
7577,13428,2012-06-29,2023-12-29,73,4,6726,00162Q85,SDOG,ALPS E T F TRUST,,53005,4,00162Q85,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7578,13429,2012-07-02,2019-09-08,11,1,4412,01449110,ALEX,ALEXANDER & BALDWIN INC NEW,,54099,1,01449110,2012-07-02,2023-12-29,2.0,2012-07-02,2023-12-29
7579,13429,2019-09-09,2023-12-29,11,1,6531,01449110,ALEX,ALEXANDER & BALDWIN INC NEW,,54099,1,01449110,2012-07-02,2023-12-29,2.0,2012-07-02,2023-12-29
7580,13430,2012-06-20,2014-12-12,11,1,5812,12122010,BKW,BURGER KING WORLDWIDE INC,,54100,1,12122010,2012-06-20,2014-12-12,2.0,2012-06-20,2014-12-12
7581,13431,2012-06-27,2017-12-25,14,1,6726,18469Q10,CTR,CLEARBRIDGE ENERGY MLP TOT RET F,,54102,1,18469Q20,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7582,13431,2017-12-26,2018-10-21,14,1,8351,18469Q10,CTR,CLEARBRIDGE ENERGY MLP TOT RET F,,54102,1,18469Q20,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7583,13431,2018-10-22,2020-07-27,14,1,8351,18469Q10,CTR,CLEARBRIDGE MLP & MID TOT RET FD,,54102,1,18469Q20,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7584,13431,2020-07-28,2023-12-29,14,1,8351,18469Q20,CTR,CLEARBRIDGE MLP & MID TOT RET FD,,54102,1,18469Q20,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7585,13432,2012-06-27,2018-10-18,71,1,4922,26885B10,EQM,E Q T MIDSTREAM PARTNERS L P,,54103,1,26885B10,2012-06-27,2020-06-16,2.0,2012-06-27,2020-06-16
7586,13432,2018-10-19,2020-06-16,71,1,4922,26885B10,EQM,E Q M MIDSTREAM PARTNERS L P,,54103,1,26885B10,2012-06-27,2020-06-16,2.0,2012-06-27,2020-06-16
7587,13433,2012-06-12,2013-06-20,73,4,6726,30150530,SNDS,EXCHANGE TRADED CONCEPTS TR,,53297,4,30150530,2012-06-12,2019-10-04,2.0,2012-06-12,2019-10-04
7588,13433,2013-06-21,2019-10-04,73,4,6726,30150530,YYY,EXCHANGE TRADED CONCEPTS TR,,53297,4,30150530,2012-06-12,2019-10-04,2.0,2012-06-12,2019-10-04
7593,13436,2012-06-21,2023-12-29,73,4,6726,33738D10,EMLP,FIRST TRUST E T F IV,,54104,4,33738D10,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7594,13437,2012-06-05,2023-12-29,73,4,6726,37950E34,GURU,GLOBAL X FUNDS,,53120,4,37950E34,2012-06-05,2023-12-29,2.0,2012-06-05,2023-12-29
7595,13438,2012-06-12,2017-12-25,12,2,1411,38073810,GSV,GOLD STANDARD VENTURES CORP,,54105,2,38073810,2012-06-12,2022-08-11,2.0,2012-06-12,2022-08-11
7596,13438,2017-12-26,2022-08-11,12,2,1081,38073810,GSV,GOLD STANDARD VENTURES CORP,,54105,2,38073810,2012-06-12,2022-08-11,2.0,2012-06-12,2022-08-11
7597,13439,2012-06-06,2014-12-15,18,1,6798,42225P10,HTA,HEALTHCARE TRUST OF AMERICA INC,A,54106,1,42226K10,2012-06-06,2023-12-29,2.0,2012-06-06,2023-12-29
7598,13439,2014-12-16,2022-07-20,18,1,6798,42225P50,HTA,HEALTHCARE TRUST OF AMERICA INC,A,54106,1,42226K10,2012-06-06,2023-12-29,2.0,2012-06-06,2023-12-29
7599,13439,2022-07-21,2023-12-29,18,1,6798,42226K10,HR,HEALTHCARE REALTY TRUST INC NEW,A,54106,1,42226K10,2012-06-06,2023-12-29,2.0,2012-06-06,2023-12-29
7600,13440,2012-06-20,2016-02-21,73,4,6726,44669820,HECO,HUNTINGTON STRATEGY SHARES,,54107,4,86280R20,2012-06-20,2020-04-20,2.0,2012-06-20,2020-04-20
7601,13440,2016-02-22,2020-04-20,73,4,6726,86280R20,HECO,STRATEGY SHARES,,54107,4,86280R20,2012-06-20,2020-04-20,2.0,2012-06-20,2020-04-20
7602,13441,2012-06-27,2018-02-28,44,1,6726,56064K10,MMD,MAINSTAY DEFINEDTERM MUNI OPP FD,,54108,1,56064K10,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7603,13441,2018-03-01,2019-09-10,44,1,6726,56064K10,MMD,MAINSTAY MACKAY DEFTERM M OPP FD,,54108,1,56064K10,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7604,13441,2019-09-11,2023-12-29,44,1,6722,56064K10,MMD,MAINSTAY MACKAY DEFTERM M OPP FD,,54108,1,56064K10,2012-06-27,2023-12-29,2.0,2012-06-27,2023-12-29
7608,13444,2012-06-27,2022-05-02,74,4,6726,74347W74,EUFX,PROSHARES TRUST II,,53104,4,74347W74,2012-06-27,2022-05-02,2.0,2012-06-27,2022-05-02
7609,13445,2012-06-19,2016-08-24,73,4,6726,78468R50,EMCD,SPDR SERIES TRUST,,39147,4,78468R50,2012-06-19,2016-08-24,2.0,2012-06-19,2016-08-24
7610,13446,2012-06-19,2015-05-11,73,4,6726,78468R60,XOVR,SPDR SERIES TRUST,,39147,4,78468R60,2012-06-19,2023-12-29,2.0,2012-06-19,2023-12-29
7611,13446,2015-05-12,2023-12-29,73,4,6726,78468R60,CJNK,SPDR SERIES TRUST,,39147,4,78468R60,2012-06-19,2023-12-29,2.0,2012-06-19,2023-12-29
7612,13447,2012-06-29,2014-01-29,11,1,7373,81762P10,NOW,SERVICENOW INC,,54109,1,81762P10,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7613,13447,2014-01-30,2017-04-20,11,1,8748,81762P10,NOW,SERVICENOW INC,,54109,1,81762P10,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7614,13447,2017-04-21,2017-05-31,11,1,7372,81762P10,NOW,SERVICENOW INC,,54109,1,81762P10,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7615,13447,2017-06-01,2019-11-20,11,1,8999,81762P10,NOW,SERVICENOW INC,,54109,1,81762P10,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7616,13447,2019-11-21,2023-12-29,11,1,7379,81762P10,NOW,SERVICENOW INC,,54109,1,81762P10,2012-06-29,2023-12-29,2.0,2012-06-29,2023-12-29
7617,13448,2012-06-06,2013-04-12,74,4,6726,86324B10,BNPC,STREAM EXCHANGE TRADED TRUST,,54110,4,86324B10,2012-06-06,2013-04-12,2.0,2012-06-06,2013-04-12
7618,13449,2012-06-19,2015-03-18,74,4,6726,91171830,USMI,UNITED STATES CMDTY INDEX FDS TR,,53926,4,91171830,2012-06-19,2015-03-18,2.0,2012-06-19,2015-03-18
7622,13452,2012-06-18,2019-03-26,12,1,2816,Q9235V10,TROX,TRONOX LTD,A,54112,1,G9087Q10,2012-06-18,2023-12-29,2.0,2012-06-18,2023-12-29
7623,13452,2019-03-27,2023-12-29,12,1,2816,G9087Q10,TROX,TRONOX HOLDINGS PLC,,54112,1,G9087Q10,2012-06-18,2023-12-29,2.0,2012-06-18,2023-12-29
7624,13453,2012-06-07,2023-04-27,11,3,6282,16357220,CEMI,CHEMBIO DIAGNOSTICS INC,,54113,3,16357220,2012-06-07,2023-04-27,2.0,2012-06-07,2023-04-27
7625,13454,2012-06-28,2017-11-16,11,3,9999,30061450,EXA,EXA CORP,,54114,3,30061450,2012-06-28,2017-11-16,2.0,2012-06-28,2017-11-16
7626,13455,2012-06-21,2012-09-11,11,3,8742,15930P40,HOTR,CHANTICLEER HOLDINGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7627,13455,2012-09-12,2013-01-15,11,-1,8742,15930P40,HOTR,CHANTICLEER HOLDINGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7628,13455,2013-01-16,2017-05-18,11,3,8742,15930P40,HOTR,CHANTICLEER HOLDINGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7629,13455,2017-05-19,2017-11-13,11,3,8742,15930P80,HOTR,CHANTICLEER HOLDINGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7630,13455,2017-11-14,2020-04-01,11,3,8742,15930P80,BURG,CHANTICLEER HOLDINGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7631,13455,2020-04-02,2022-09-18,11,3,8742,83548R10,SONN,SONNET BIOTHERAPEUTICS HLDGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7632,13455,2022-09-19,2023-08-31,11,3,8742,83548R20,SONN,SONNET BIOTHERAPEUTICS HLDGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7633,13455,2023-09-01,2023-12-29,11,3,8742,83548R30,SONN,SONNET BIOTHERAPEUTICS HLDGS INC,,54115,3,83548R30,2012-06-21,2023-12-29,2.0,2012-06-21,2023-12-29
7634,13456,2012-06-28,2019-01-18,11,3,9999,88156910,TSRO,TESARO INC,,54116,3,88156910,2012-06-28,2019-01-18,2.0,2012-06-28,2019-01-18
7648,13499,2012-07-11,2013-12-01,73,4,6726,00768Y74,RRGR,ADVISORSHARES TRUST,,53202,4,00768Y74,2012-07-11,2016-10-21,2.0,2012-07-11,2016-10-21
7649,13499,2013-12-02,2016-10-21,73,4,6726,00768Y74,EPRO,ADVISORSHARES TRUST,,53202,4,00768Y74,2012-07-11,2016-10-21,2.0,2012-07-11,2016-10-21
7650,13500,2012-07-27,2013-04-24,18,1,6798,03216B20,AMRE,AMREIT INC NEW,B,54133,1,03216B20,2012-07-27,2015-02-18,2.0,2012-07-27,2015-02-18
7651,13500,2013-04-25,2015-02-18,18,1,6798,03216B20,AMRE,AMREIT INC NEW,,54133,1,03216B20,2012-07-27,2015-02-18,2.0,2012-07-27,2015-02-18
7652,13501,2012-07-27,2017-12-25,14,1,6726,19248C10,LDP,COHEN & STEERS LTD DUR PFD & INC,,54134,1,19248C10,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7653,13501,2017-12-26,2023-12-29,14,1,6722,19248C10,LDP,COHEN & STEERS LTD DUR PFD & INC,,54134,1,19248C10,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7654,13502,2012-07-18,2015-02-26,11,1,3812,29285W10,EGL,ENGILITY HLDGS INC,,54135,1,29286C10,2012-07-18,2019-01-11,2.0,2012-07-18,2019-01-11
7655,13502,2015-02-27,2015-06-30,11,1,3812,29286C10,EGL,ENGILITY HLDGS INC NEW,,54135,1,29286C10,2012-07-18,2019-01-11,2.0,2012-07-18,2019-01-11
7656,13502,2015-07-01,2019-01-11,11,1,8711,29286C10,EGL,ENGILITY HLDGS INC NEW,,54135,1,29286C10,2012-07-18,2019-01-11,2.0,2012-07-18,2019-01-11
7657,13503,2012-07-17,2023-12-29,73,4,6726,37950E33,SPFF,GLOBAL X FUNDS,,53120,4,37950E33,2012-07-17,2023-12-29,2.0,2012-07-17,2023-12-29
7658,13504,2012-07-25,2016-02-21,73,4,6726,44669810,HUSE,HUNTINGTON STRATEGY SHARES,,54107,4,86280R10,2012-07-25,2020-04-20,2.0,2012-07-25,2020-04-20
7659,13504,2016-02-22,2020-04-20,73,4,6726,86280R10,HUSE,STRATEGY SHARES,,54107,4,86280R10,2012-07-25,2020-04-20,2.0,2012-07-25,2020-04-20
7660,13505,2012-07-17,2016-05-01,73,4,6726,57061R79,PFXF,MARKET VECTORS E T F TRUST,,50699,4,92189F42,2012-07-17,2023-12-29,2.0,2012-07-17,2023-12-29
7661,13505,2016-05-02,2021-08-31,73,4,6726,92189F42,PFXF,VANECK VECTORS E T F TRUST,,50699,4,92189F42,2012-07-17,2023-12-29,2.0,2012-07-17,2023-12-29
7662,13505,2021-09-01,2023-12-29,73,4,6726,92189F42,PFXF,VANECK E T F TRUST,,50699,4,92189F42,2012-07-17,2023-12-29,2.0,2012-07-17,2023-12-29
7667,13508,2012-07-25,2023-12-29,11,1,5411,63888U10,NGVC,NATRL GROCERS BY VIT COTTAGE INC,,54136,1,63888U10,2012-07-25,2023-12-29,2.0,2012-07-25,2023-12-29
7668,13509,2012-07-26,2016-06-23,71,1,2911,66582610,NTI,NORTHERN TIER ENERGY L P,,54137,1,66582610,2012-07-26,2016-06-23,2.0,2012-07-26,2016-06-23
7669,13510,2012-07-27,2019-06-24,44,1,6726,67075A10,JPI,NUVEEN PFD & INCOME TERM FUND,,54138,1,67075A10,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7670,13510,2019-06-25,2023-12-29,44,1,6722,67075A10,JPI,NUVEEN PFD & INCOME TERM FUND,,54138,1,67075A10,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7671,13511,2012-07-20,2016-08-21,11,1,7372,69743510,PANW,PALO ALTO NETWORKS INC,,54139,3,69743510,2012-07-20,2023-12-29,2.0,2012-07-20,2023-12-29
7672,13511,2016-08-22,2021-03-28,11,1,3577,69743510,PANW,PALO ALTO NETWORKS INC,,54139,3,69743510,2012-07-20,2023-12-29,2.0,2012-07-20,2023-12-29
7673,13511,2021-03-29,2021-10-24,11,1,7371,69743510,PANW,PALO ALTO NETWORKS INC,,54139,3,69743510,2012-07-20,2023-12-29,2.0,2012-07-20,2023-12-29
7674,13511,2021-10-25,2023-12-29,11,3,7371,69743510,PANW,PALO ALTO NETWORKS INC,,54139,3,69743510,2012-07-20,2023-12-29,2.0,2012-07-20,2023-12-29
7675,13512,2012-07-19,2016-12-06,73,4,6726,73936Q74,DWAS,POWERSHARES E T F TRUST II,,52902,3,46138E84,2012-07-19,2023-12-29,2.0,2012-07-19,2023-12-29
7676,13512,2016-12-07,2018-06-03,73,3,6726,73936Q74,DWAS,POWERSHARES E T F TRUST II,,52902,3,46138E84,2012-07-19,2023-12-29,2.0,2012-07-19,2023-12-29
7677,13512,2018-06-04,2023-12-29,73,3,6726,46138E84,DWAS,INVESCO E T F TRUST II,,52902,3,46138E84,2012-07-19,2023-12-29,2.0,2012-07-19,2023-12-29
7678,13513,2012-07-19,2022-05-02,74,4,6726,74347W46,CROC,PROSHARES TRUST II,,53104,4,74347W46,2012-07-19,2022-05-02,2.0,2012-07-19,2022-05-02
7684,13516,2012-07-19,2015-06-18,74,4,6726,74347W49,GDAY,PROSHARES TRUST II,,53104,4,74347W49,2012-07-19,2015-06-18,2.0,2012-07-19,2015-06-18
7685,13517,2012-07-12,2013-06-09,73,4,6726,74348A57,FINZ,PROSHARES TRUST,,50846,4,74348A18,2012-07-12,2020-03-27,2.0,2012-07-12,2020-03-27
7686,13517,2013-06-10,2017-01-11,73,4,6726,74348A51,FINZ,PROSHARES TRUST,,50846,4,74348A18,2012-07-12,2020-03-27,2.0,2012-07-12,2020-03-27
7687,13517,2017-01-12,2020-03-27,73,4,6726,74348A18,FINZ,PROSHARES TRUST,,50846,4,74348A18,2012-07-12,2020-03-27,2.0,2012-07-12,2020-03-27
7688,13518,2012-07-12,2020-03-27,73,4,6726,74348A58,FINU,PROSHARES TRUST,,50846,4,74348A58,2012-07-12,2020-03-27,2.0,2012-07-12,2020-03-27
7689,13519,2012-07-27,2017-12-25,14,1,6726,89148K10,NDP,TORTOISE ENERGY INDPNDCE FD INC,,54140,1,89148K20,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7690,13519,2017-12-26,2020-04-30,14,1,6722,89148K10,NDP,TORTOISE ENERGY INDPNDCE FD INC,,54140,1,89148K20,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7691,13519,2020-05-01,2023-12-29,14,1,6722,89148K20,NDP,TORTOISE ENERGY INDPNDCE FD INC,,54140,1,89148K20,2012-07-27,2023-12-29,2.0,2012-07-27,2023-12-29
7692,13520,2012-07-24,2023-12-29,11,3,9999,17160410,CHUY,CHUYS HOLDINGS INC,,54141,3,17160410,2012-07-24,2023-12-29,2.0,2012-07-24,2023-12-29
7693,13521,2012-07-11,2015-11-01,11,3,7389,22228P20,CPAH,COUNTERPATH CORP,,54142,3,22228P30,2012-07-11,2021-02-26,2.0,2012-07-11,2021-02-26
7694,13521,2015-11-02,2021-02-26,11,3,7389,22228P30,CPAH,COUNTERPATH CORP,,54142,3,22228P30,2012-07-11,2021-02-26,2.0,2012-07-11,2021-02-26
7699,13524,2012-07-27,2019-09-24,11,3,9999,24507710,DFRG,DEL FRISCOS RESTAURANT GROUP INC,,54143,3,24507710,2012-07-27,2019-09-24,2.0,2012-07-27,2019-09-24
7700,13525,2012-07-19,2014-11-17,11,3,9999,26658A10,DRTX,DURATA THERAPEUTICS INC,,54144,3,26658A10,2012-07-19,2014-11-17,2.0,2012-07-19,2014-11-17
7701,13526,2012-07-26,2015-03-25,11,3,9999,29788A10,EOPN,E2OPEN INC,,54145,3,29788A10,2012-07-26,2015-03-25,2.0,2012-07-26,2015-03-25
7702,13527,2012-07-19,2023-12-29,11,3,9999,33829M10,FIVE,FIVE BELOW INC,,54146,3,33829M10,2012-07-19,2023-12-29,2.0,2012-07-19,2023-12-29
7703,13528,2012-07-10,2023-12-29,11,3,9999,30263Y10,FSBW,F S BANCORP INC,,54147,3,30263Y10,2012-07-10,2023-12-29,2.0,2012-07-10,2023-12-29
7704,13529,2012-07-12,2017-05-23,11,3,6036,37259110,GTWN,GEORGETOWN BANCORP INC NEW,,54148,3,37259110,2012-07-12,2017-05-23,2.0,2012-07-12,2017-05-23
7707,13532,2012-07-23,2022-01-21,11,3,6022,44249610,HBMD,HOWARD BANCORP INC,,54149,3,44249610,2012-07-23,2022-01-21,2.0,2012-07-23,2022-01-21
7708,13533,2012-07-26,2015-05-07,11,3,9999,44915N10,HPTX,HYPERION THERAPEUTICS INC,,54150,3,44915N10,2012-07-26,2015-05-07,2.0,2012-07-26,2015-05-07
7709,13534,2012-07-11,2023-12-29,11,3,9999,43787210,HTBI,HOMETRUST BANCSHARES INC,,54151,3,43787210,2012-07-11,2023-12-29,2.0,2012-07-11,2023-12-29
7710,13535,2012-07-20,2013-05-20,11,3,9999,48657710,KYAK,KAYAK SOFTWARE CORP,A,54153,3,48657710,2012-07-20,2013-05-20,2.0,2012-07-20,2013-05-20
7711,13536,2012-07-02,2013-09-03,11,3,1520,74348X10,PGRX,PROSPECT GLOBAL RESOURCES INC,,54154,3,74348X20,2012-07-02,2014-04-04,2.0,2012-07-02,2014-04-04
7712,13536,2013-09-04,2014-04-04,11,3,1520,74348X20,PGRX,PROSPECT GLOBAL RESOURCES INC,,54154,3,74348X20,2012-07-02,2014-04-04,2.0,2012-07-02,2014-04-04
7713,13537,2012-07-02,2014-07-14,11,3,7200,46637N10,TAX,J T H HOLDING INC,A,54155,3,35180X10,2012-07-02,2023-08-18,2.0,2012-07-02,2023-08-18
7714,13537,2014-07-15,2018-08-01,11,3,7200,53128T10,TAX,LIBERTY TAX INC,A,54155,3,35180X10,2012-07-02,2023-08-18,2.0,2012-07-02,2023-08-18
7715,13537,2018-08-02,2019-09-19,11,0,7200,53128T10,,LIBERTY TAX INC,,54155,3,35180X10,2012-07-02,2023-08-18,2.0,2012-07-02,2023-08-18
7716,13537,2019-09-20,2019-11-14,11,0,7200,35180X10,,FRANCHISE GROUP INC,,54155,3,35180X10,2012-07-02,2023-08-18,2.0,2012-07-02,2023-08-18
7717,13537,2019-11-15,2023-08-18,11,3,7200,35180X10,FRG,FRANCHISE GROUP INC,,54155,3,35180X10,2012-07-02,2023-08-18,2.0,2012-07-02,2023-08-18
7718,13538,2012-08-08,2017-06-23,73,4,6726,00768Y75,QEH,ADVISORSHARES TRUST,,53202,4,00768Y75,2012-08-08,2017-06-23,2.0,2012-08-08,2017-06-23
7719,13539,2012-08-29,2016-02-29,44,1,6726,09257P10,BTT,BLACKROCK MUNICIPAL TARGET TM TR,,54156,1,09257P10,2012-08-29,2023-12-29,2.0,2012-08-29,2023-12-29
7720,13539,2016-03-01,2023-12-29,44,1,6726,09257P10,BTT,BLACKROCK MUNI 2030 TARGET TM TR,,54156,1,09257P10,2012-08-29,2023-12-29,2.0,2012-08-29,2023-12-29
7721,13540,2012-08-15,2016-02-29,73,4,6726,26846162,EMDD,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B40,2012-08-15,2017-07-21,2.0,2012-08-15,2017-07-21
7722,13540,2016-03-01,2016-07-31,73,4,6726,26846162,EMSO,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B40,2012-08-15,2017-07-21,2.0,2012-08-15,2017-07-21
7723,13540,2016-08-01,2016-10-18,73,4,6726,26846162,EMDD,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B40,2012-08-15,2017-07-21,2.0,2012-08-15,2017-07-21
7724,13540,2016-10-19,2017-07-21,73,4,6726,19762B40,EMDD,COLUMBIA E T F TRUST II,,53146,4,19762B40,2012-08-15,2017-07-21,2.0,2012-08-15,2017-07-21
7725,13541,2012-08-15,2016-10-18,73,4,6726,26846163,BBRC,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B10,2012-08-15,2019-06-14,2.0,2012-08-15,2019-06-14
7726,13541,2016-10-19,2019-06-14,73,4,6726,19762B10,BBRC,COLUMBIA E T F TRUST II,,53146,4,19762B10,2012-08-15,2019-06-14,2.0,2012-08-15,2019-06-14
7727,13542,2012-08-30,2017-08-17,73,4,6726,33733E60,VIXH,FIRST TRUST EXCHANGE TRADED FUND,,50838,3,33733E88,2012-08-30,2022-10-26,2.0,2012-08-30,2022-10-26
7728,13542,2017-08-18,2022-10-26,73,3,6726,33733E88,DWPP,FIRST TRUST EXCHANGE TRADED FUND,,50838,3,33733E88,2012-08-30,2022-10-26,2.0,2012-08-30,2022-10-26
7729,13543,2012-08-03,2023-12-29,11,1,3841,37957720,GMED,GLOBUS MEDICAL INC,A,54157,1,37957720,2012-08-03,2023-12-29,2.0,2012-08-03,2023-12-29
7730,13544,2012-08-16,2019-06-02,71,1,1446,42833710,HCLP,HI CRUSH PARTNERS L P,,54158,1,42833710,2012-08-16,2020-07-13,2.0,2012-08-16,2020-07-13
7731,13544,2019-06-03,2020-05-03,11,1,1442,42833710,HCR,HI CRUSH INC,,54158,1,42833710,2012-08-16,2020-07-13,2.0,2012-08-16,2020-07-13
7732,13544,2020-05-04,2020-07-13,11,1,1481,42833710,HCR,HI CRUSH INC,,54158,1,42833710,2012-08-16,2020-07-13,2.0,2012-08-16,2020-07-13
7733,13545,2012-08-20,2015-01-28,12,2,6719,80013R20,SAND,SANDSTORM GOLD LTD,,54159,1,80013R20,2012-08-20,2023-12-29,2.0,2012-08-20,2023-12-29
7734,13545,2015-01-29,2020-02-20,12,2,8741,80013R20,SAND,SANDSTORM GOLD LTD,,54159,1,80013R20,2012-08-20,2023-12-29,2.0,2012-08-20,2023-12-29
7735,13545,2020-02-21,2023-12-29,12,1,8741,80013R20,SAND,SANDSTORM GOLD LTD,,54159,1,80013R20,2012-08-20,2023-12-29,2.0,2012-08-20,2023-12-29
7736,13546,2012-08-27,2015-10-01,12,2,1311,82836510,SVLC,SILVERCREST MINES INC,,54160,2,82836510,2012-08-27,2015-10-01,2.0,2012-08-27,2015-10-01
7737,13547,2012-08-10,2017-12-25,12,1,7941,G5784H10,MANU,MANCHESTER UNITED PLC,A,54161,1,G5784H10,2012-08-10,2023-12-29,2.0,2012-08-10,2023-12-29
7738,13547,2017-12-26,2023-12-29,12,1,7997,G5784H10,MANU,MANCHESTER UNITED PLC,A,54161,1,G5784H10,2012-08-10,2023-12-29,2.0,2012-08-10,2023-12-29
7739,13548,2012-08-08,2023-12-29,11,3,9999,09423510,BLMN,BLOOMIN BRANDS INC,,54162,3,09423510,2012-08-08,2023-12-29,2.0,2012-08-08,2023-12-29
7742,13551,2012-08-02,2013-02-08,11,3,9999,29013910,ELOQ,ELOQUA INC,,54163,3,29013910,2012-08-02,2013-02-08,2.0,2012-08-02,2013-02-08
7743,13552,2012-08-02,2014-05-02,11,3,9999,44864010,HPAC,HYDE PARK ACQUISTION CORP II,,54164,3,44864010,2012-08-02,2014-05-02,2.0,2012-08-02,2014-05-02
7744,13553,2012-08-10,2016-11-06,11,3,4841,53071M88,LVNTA,LIBERTY INTERACTIVE CORP,A,41998,3,53071M85,2012-08-10,2018-03-09,2.0,2012-08-10,2018-03-09
7745,13553,2016-11-07,2018-03-09,11,3,4841,53071M85,LVNTA,LIBERTY INTERACTIVE CORP,A,41998,3,53071M85,2012-08-10,2018-03-09,2.0,2012-08-10,2018-03-09
7746,13554,2012-08-10,2016-11-06,11,3,4841,53071M87,LVNTB,LIBERTY INTERACTIVE CORP,B,41998,3,53071M86,2012-08-10,2018-03-09,2.0,2012-08-10,2018-03-09
7747,13554,2016-11-07,2018-03-09,11,3,4841,53071M86,LVNTB,LIBERTY INTERACTIVE CORP,B,41998,3,53071M86,2012-08-10,2018-03-09,2.0,2012-08-10,2018-03-09
7748,13555,2012-08-14,2023-12-29,73,3,6726,33738R10,MDIV,FIRST TRUST E T F VI,,54165,3,33738R10,2012-08-14,2023-12-29,2.0,2012-08-14,2023-12-29
7749,13556,2012-08-15,2017-05-21,11,3,3559,55939L20,MNGA,MAGNEGAS CORP,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7750,13556,2017-05-22,2018-01-16,11,3,3559,55939L30,MNGA,MAGNEGAS CORP,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7751,13556,2018-01-17,2018-10-29,11,3,3559,55939L40,MNGA,MAGNEGAS CORP,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7752,13556,2018-10-30,2019-01-31,11,3,3559,55939M10,MNGA,MAGNEGAS APPLIED TECH SOLNS INC,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7753,13556,2019-02-01,2019-02-06,11,3,3559,55939M20,MNGA,MAGNEGAS APPLIED TECH SOLNS INC,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7754,13556,2019-02-07,2019-02-19,11,3,3559,87621410,MNGA,TARONIS TECHNOLOGIES INC,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7755,13556,2019-02-20,2019-08-25,11,3,3559,87621410,TRNX,TARONIS TECHNOLOGIES INC,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7756,13556,2019-08-26,2020-05-01,11,3,3559,87621420,TRNX,TARONIS TECHNOLOGIES INC,,54166,3,87621420,2012-08-15,2020-05-01,2.0,2012-08-15,2020-05-01
7765,13559,2012-08-10,2023-12-29,11,3,9999,71377E10,PFMT,PERFORMANT FINANCIAL CORP,,54167,3,71377E10,2012-08-10,2023-12-29,2.0,2012-08-10,2023-12-29
7766,13560,2012-08-08,2014-12-11,11,3,9999,71366R70,PSMI,PEREGRINE SEMICONDUCTOR CORP,,54168,3,71366R70,2012-08-08,2014-12-11,2.0,2012-08-08,2014-12-11
7767,13561,2012-08-23,2023-12-29,11,3,6035,83607A10,SFBC,SOUND FINANCIAL BANCORP INC,,54169,3,83607A10,2012-08-23,2023-12-29,2.0,2012-08-23,2023-12-29
